Epic,Stage,Workstream,Week,Activity,Resource,Hours,Factor,Rate,Size,Complexity,Confidence,Comments
AI Pilot & Sandbox,0-Pre Kick-off Prep,,0,Project Initiation & Prep,,15,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,,1,Project Kick off Meeting,,3,3,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,1,"Content Inventory Discovery,  Document",,10,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,1,Deliverable Development: Read out from interviews,,4,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,1,Deliverable Iteration: Initial draft,,4,2,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,1,SteerCo Selection and Format,,2,1,200,small,simple,high,Assumes this is needed 
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,1,Interviews: 2 one hour interviews with key department leads,,2,1,200,small,simple,high,Develop use cases from interviews
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,1,Exec & Key Stakeholder Interviews,,2,1,200,small,simple,high,Adjust as needed per size of org
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,2,Workshops: Case studies & Success Metrics,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,A-Sandbox Design & Build,2,Deliverable Development,,2,2,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Candidate Use Case Development,,5,2,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Deliverable Development,,3,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Deliverable Iteration,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Deliverable Iteration,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Interviews,,2,1,200,small,simple,high,
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Workshop: Persona & Audiences ,,3,3,200,small,simple,high,Pilot program dependency for pilot rollout planning
AI Pilot & Sandbox,1-Empathize -Discovery & Alignment,B-AI Pilot & Governance,2,Followup Discovery - Core Interview,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Platform/Tool Assessment,,8,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Platform/Tool Recommendations,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Platform/Tool Selection,,2,1,200,small,simple,high,Pilot design dependent on tooling selection
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,3,Data Governance Development,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,3,Use Case Development,,8,1,200,small,simple,high,Adjust as needed for estimated # of use cases
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,3,Use Case Review & Prioritization,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,3,Use Case Refine/Finalize,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,3,Develop SteerCo,,2,1,200,small,simple,high,remove if not needed
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,4,Document Taxonomy Development,,4,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,4,Solution Blueprint Development,,4,2,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,4,Project Planning Refinement,,4,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,4,Sandbox Design,,16,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,A-Sandbox Design & Build,4,Pilot Design Review & Refine,,4,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,4,Solution Blueprint Review & Revise,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,4,Solution Blueprint Final,,2,1,200,small,simple,high,
AI Pilot & Sandbox,2-Define-Design & Blueprint,B-AI Pilot & Governance,4,Workshop: Pilot plan initiation,,2,2,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,5,"Setup User Feedback Tooling (ADO, Teams)",,2,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,6,Refine Core Pilot Features ,,2,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,6,Develop Pilot Curriculum,,8,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,7,User Testing Use Cases: Structured Test Cases,,8,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,7,User Feedback/Test Results Analysis ,,2,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,7,Update Pilot Per Feedback,,4,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,8,Pilot Finalize,,4,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,8,Prepare Pilot Rollout by Audience,,4,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,8,Workshop: Review Rollout Plan ,,2,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,A-Sandbox Design & Build,9,Sandbox Configuration,,16,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,A-Sandbox Design & Build,9,Content ingestion,,8,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,A-Sandbox Design & Build,9,Feature buildout,,8,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,9,Solution Hardening & Deployment,,4,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,9,Set Up User Access Controls,,2,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,9,Pilot Integration Readiness for Rollout,,4,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,9,Pilot User Onboarding,,2,1,200,small,simple,high,
AI Pilot & Sandbox,3-Prototype,B-AI Pilot & Governance,9,Weekly Pilot Meeting,,2,1,200,small,simple,high,Adjust as needed by size of org
AI Pilot & Sandbox,4-Pilot,,10,Pilot Usage Period Monitoring,,20,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,,10,Pilot User Feedback,,4,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,B-AI Pilot & Governance,10,Weekly Pilot Meeting,,2,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,B-AI Pilot & Governance,11,Weekly Pilot Meeting,,2,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,B-AI Pilot & Governance,11,Mid-Pilot Feedback Workshop,,2,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,B-AI Pilot & Governance,11,Pilot Refinement Checklist Based on Feedback,,2,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,B-AI Pilot & Governance,12,Weekly Pilot Meeting,,2,1,200,small,simple,high,
AI Pilot & Sandbox,5-Deliverables and Handover,,13,Final Evaluation & Reporting,,,,200,small,simple,high,
AI Pilot & Sandbox,5-Deliverables and Handover,,13,Program Read Out Recommendations & Next Steps,,4,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,A-Sandbox Design & Build,13,Production deployment - toolset,,4,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,A-Sandbox Design & Build,13,Production deployment -  AI & Security,,4,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,A-Sandbox Design & Build,13,Production deployment - feature sets,,4,1,200,small,simple,high,
AI Pilot & Sandbox,4-Pilot,B-AI Pilot & Governance,13,Weekly Pilot Meeting,,2,1,200,small,simple,high,Adjust as needed by size of org
